<<<<<<< HEAD
﻿番号,施設名,住所,電話番号,営業時間,料金,泉質,泉人優待,アクセス,施設サイト
29,別府温泉：竹瓦温泉,別府市元町16-23,0977-23-1585,普通浴　6：30～22：30砂湯　8：00～22:30（最終受付 21:30）第3水曜休（祝日の場合は翌日）,"普通浴大人300円 小学生100円 未就学児 無料砂湯 1,500円（2024.3現在）",炭酸水素塩泉,,ＪＲ別府駅から徒歩約10分,https://www.city.beppu.oita.jp/sisetu/shieionsen/detail4.html,https://www.88onsen.com/spot/detail/hid/29
31,鉄輪温泉：ひょうたん温泉,別府市鉄輪159-2,0977-66-0527,"9:00～25:00無休（4月,7月,12月臨時休業有）","大人（13歳以上）940円、こども（7～12歳）400円、幼児（4～6歳）280円 3才以下無料貸切湯2,400円（60分大人3名）（2024.3）",塩化物泉,,ＪＲ別府駅からバスで約30分、大分交通バス地獄原・ひょうたん温泉バス停から徒歩約2分,https://www.hyotan-onsen.com/,https://www.88onsen.com/spot/detail/hid/31
42,塚原温泉：火口乃泉,由布市湯布院町塚原1235番地,0977-85-4101,7月～8月9:00～19:00（最終受付 18:00）1月～2月10:00～18:00（最終受付 17:00）その他は、9：00～18：00（最終受付17：00）年末年始休悪天候時は休業する場合有（2024.3現在）,"大人 500円（露天600円）こども 200円貸切湯2,000円、2,500円",酸性泉,,JR由布院駅からタクシーで約15分JR別府駅からタクシーで約30分,https://www.tukaharaonsen.jp,https://www.88onsen.com/spot/detail/hid/42
32,鉄輪温泉：鉄輪むし湯,別府市鉄輪上1組,0977-67-3880,7:30～19:30（最終受付19:00）※混雑状況によりお待ちいただく場合あり第4木曜休（祝日の場合翌日）,700円貸し浴衣220円,塩化物泉,,JR別府駅からバスで約30分鉄輪バス停下車徒歩約3分,https://www.city.beppu.oita.jp/sisetu/shieionsen/detail11.html,https://www.88onsen.com/spot/detail/hid/32
65,赤松温泉：赤松温泉,速見郡日出町藤原赤松6371,090-5944-4409,10：00～21：00火曜休（2024.5現在）,大人400円小学生300円幼児200円（2024.3現在）,炭酸水素塩泉,,ＪＲ杵築駅よりタクシーで約8分,https://hijinavi.com/spots/detail/68,https://www.88onsen.com/spot/detail/hid/65
177,明礬温泉：豊前屋旅館,別府市明礬２組,0977-66-0537,立ち寄り湯利用時間：11：00 ～ 16：00※宿泊予約状況により、上記時間以外でも入浴可能な場合があります。お電話にてお問い合わせください。不定休,おとな 500円小学生 250円,硫黄泉,,ＪＲ別府駅からバスで約30分、地蔵湯前バス停下車徒歩約3分。,http://www.buzenya.net/,https://www.88onsen.com/spot/detail/hid/177
34,明礬温泉：照湯温泉,別府市小倉5組1,なし,9:00～21:00無休,大人 300円小学生以下 100円（2024.3現在）,単純温泉,,ＪＲ別府駅西からバスで約20分、⑤照湯バス停下車徒歩約2分,https://onsendo.beppu-navi.jp/y128/,https://www.88onsen.com/spot/detail/hid/34
188,別府温泉：別府のお宿　加賀屋,大分県別府市北浜3丁目12-14,0977-75-7224,11:00～16:00(最終受付 15:15)不定休(予めご確認下さい),大人500円 小学生250円,炭酸水素塩泉,,別府駅から徒歩約10分北浜バスセンターから徒歩2分※LINEにて駐車場予約できます@607ytdhq,http://www.beppu-kagaya.com/,https://www.88onsen.com/spot/detail/hid/188
216,府内温泉：府内温泉,大分県大分市府内町3丁目3-8府内トレス1F,097-537-2500,14:00〜23:00 (最終受付 22:30)火曜休・鍵付きロッカーあり・駐車場85台,"大人 640円こども（小学生以下）400円家族風呂 3,000円（2024.3現在）",炭酸水素塩泉,,JR大分駅から徒歩約8分※駐車場（82台）サービスあり(利用者は「府内トレスパーキング」1時間無料),https://funaionsen.com/,https://www.88onsen.com/spot/detail/hid/216
203,湯平温泉：旅館 山城屋,由布市湯布院町湯平309番地1,0977-86-2462,10:00～16:00不定休(要問い合わせ)駐車場：普通車8台,"貸切湯のみ1,000円～2,000円（2024.3現在）",塩化物泉,入浴料500円引（本人のみ1回）,JR湯平駅から車で約10分,https://e-yamashiroya.jp,https://www.88onsen.com/spot/detail/hid/203
41,浜脇温泉：茶房たかさきの湯,別府市朝見1丁目２－１１,0977-23-0592,10:00～15:30（15：00オーダーストップ）火・水曜休,喫茶を利用した方のみ無料で利用可能,単純温泉,,ＪＲ別府駅から徒歩約15分別府ＩＣから車で約15分,,https://www.88onsen.com/spot/detail/hid/41
215,あたみ温泉：あたみ温泉,大分県大分市末広町1-3-4,097-532-4324,15:00～20:00定休日：火曜休・駐車場２台,料金　大人　　　430円小学生　　160円未就学児　 80円（2024.3現在）,炭酸水素塩泉,大人入浴料80円引き（本人のみ１回）,JR大分駅から徒歩約３分,https://www.visit-oita.jp/spots/detail/6134,https://www.88onsen.com/spot/detail/hid/215
48,由布院温泉：ゆふいん泰葉,由布市湯布院町川上1270-48,0977-85-2226,10:00～20:00(19：00終了の場合あり)不定休,"大人 900円（内湯）こども（6～12才） 500円家族湯（1部屋）2,300円、2,800円（50分）（2024.3現在）",塩化物泉,,ＪＲ由布院駅からタクシーで約7分,http://www.yasuha.co.jp/,https://www.88onsen.com/spot/detail/hid/48
47,由布院温泉：温泉保養集落 束の間,由布市湯布院町川上444-3,0977-85-3105,9：30 ～ 18：30（受付終了18:00）火・水曜休,大人 800円小・中学生 500円幼児 無料,塩化物泉,,ＪＲ由布院駅からタクシーで約7分,https://tsukanoma.club/,https://www.88onsen.com/spot/detail/hid/47
229,別府温泉：永石温泉,別府市南町2-2,0977-26-5789,6：30～14：00、15：00～22：30第2火曜休(祝日の場合は変更あり),大人(中学生以上)200円小学生100円、小学生未満は無料,単純温泉,,JR別府駅から徒歩約5分別府駅西口からバスで約6分「永石温泉前」下車すぐ,https://www.city.beppu.oita.jp/sisetu/shieionsen/detail3.html,https://www.88onsen.com/spot/detail/hid/229
161,丹生温泉：丹生温泉施設 和みの湯,大分市丹生1189,097-522-1610,12:00〜21:00（最終受付20:30）第２水曜休（祝日の場合は変更あり）,大人310円6〜11歳140円6歳未満70円（2024.3現在）,塩化物泉,,JR鶴崎駅からタクシーで約10分,http://www.city.oita.oita.jp/o073/shisejoho/annai/1155706159859.html,https://www.88onsen.com/spot/detail/hid/161
66,高崎山温泉：おさるの湯,由布市狭間町高崎628-1,097-583-5966,5：00～23：00(最終受付 22：00)木曜休（祝日の場合は営業）,"大人450円　こども250円　サウナ風呂650円家族湯60分2,000円　90分3,000円(2024.3現在)",単純温泉,オリジナルタオル進呈（本人のみ1回）,ＪＲ向之原駅からタクシーで約15分ＪＲ賀来駅からタクシーで約10分,http://www10.plala.or.jp/osarunoyu/,https://www.88onsen.com/spot/detail/hid/66
230,天ヶ瀬温泉：みはらしの宿ふろんでん,日田市天瀬町赤岩108-1,0973-57-8511,12：00～15：00(最終受付14：00)不定休,大人1500円こども(4才～11才)1000円※バスタオル、フェイスタオル、館内着等はオプション（別途有料）（2024.07現在）,塩化物泉,入浴料大人もこどもも半額（本人のみ1回）,JR天ヶ瀬駅から徒歩約19分,https://fronden.jp/,https://www.88onsen.com/spot/detail/hid/230
61,筌の口温泉：炭酸温泉　山里の湯,玖珠郡九重町田野1268-2,0973-79-2516,9:00～18:00（最終受付 17:00）火・水曜休（祝日の場合は営業）（事前に電話でご確認下さい）,"大人 600円こども（4才～小学生）300円貸切湯2,500円（50分）（2024.3現在）",炭酸水素塩泉,,ＪＲ豊後中村駅からバスで約25分、筌の口温泉下車徒歩約5分,,https://www.88onsen.com/spot/detail/hid/61
57,夜明温泉：夜明薬湯温泉,日田市高井町714-3,0973-27-2809,10:00～20:00（最終受付：大風呂19：30、家族風呂19：00）火曜休,"大人 650円こども 400円幼児（3歳以下） 100円1日利用2,000円(休憩室10：00～18：00)家族風呂 1,300円～（50分）（2024.5現在）",炭酸水素塩泉,,JR夜明駅から徒歩約10分,https://instagram.com/yoakeyakutou?igshid=YmMyMTA2M2Y=,https://www.88onsen.com/spot/detail/hid/57
222,九酔渓温泉：渓谷の宿　二匹の鬼,玖珠郡九重町田野947-5,0973-79-2144,11：00～15：00不定休,"(6才以上) 200円家族風呂 1,000円(60分)",炭酸水素塩泉,露天風呂無料(冬季閉鎖)か、家族風呂半額(本人のみ1回),JR豊後中村駅からタクシーで約15分,https://kyusuikei.com/nihikinooni/onsen/,https://www.88onsen.com/spot/detail/hid/222
60,筌の口温泉：旅館　新清館,玖珠郡九重町田野1427-1,0973-79-2131,9:00～22:00(最終受付 21:00)（不定期で午前中に清掃の場合あり）不定休,大人 500円こども 250円（2024.3現在）,炭酸水素塩泉,入浴料大人もこどもも100円（本人のみ1回）,ＪＲ豊後中村駅からバスで約20分、筌の口バス停下車徒歩約5分,http://www.oct-net.ne.jp/shinkan/,https://www.88onsen.com/spot/detail/hid/60
59,筋湯温泉：うたせ大浴場,玖珠郡九重町大字湯坪筋湯640-2,0973-76-3150（九重町役場商工観光・自然環境課）,6:00～21:30・うたせ湯入口でコインをご購入ください無休,6才以上400円5歳以下無料（2024.3現在）,塩化物泉,,ＪＲ豊後中村駅からバスで約40分、筋湯バス停下車徒歩約3分,http://www.sujiyu-onsen.com/hotspring/,https://www.88onsen.com/spot/detail/hid/59
204,天ヶ瀬温泉：瀬音・湯音の宿　浮羽,日田市天瀬町赤岩３-５,0973-57-3171,11:30～16:00（最終受付 15：00）不定休鍵付きロッカー（優良）あり駐車場：普通車20台、大型4台,大人800円こども（4才～12才）400円（2024.3現在）,炭酸水素塩泉,,JR天ケ瀬駅から徒歩約10分天ヶ瀬高塚ICから車で約20分,https://www.ukiha.co.jp/ukiha,https://www.88onsen.com/spot/detail/hid/204
163,七福温泉：七福温泉 宇戸の庄,玖珠郡玖珠町大字森字谷の河内4398-2,0973-72-0429,7･8月10:00～18:00(最終受付 17：30)その他は10：00〜17：00（最終受付 16：30）水曜休※お電話にてご確認下さい。,大人500円こども300円（2024.3現在）,単純温泉,当店オリジナルのミネラルウォーター｢七福うまし水｣500ml 1本プレゼント　　　　　　　　　　　　　　　　　　　「七福うましの水」500ｍｌ　1本プレゼント,JR豊後森駅からタクシーで約15分玖珠ICから車で約15分,http://www.utonosyo.com/,https://www.88onsen.com/spot/detail/hid/163
162,星生温泉：九重星生ホテル,玖珠郡九重町田野230,0973-79-3111,10:00〜19:30（最終受付18：30）※火・金曜14:30〜19:30※火・金曜が祝日の場合は10時から※宿泊優先で入浴できないことあり不定休,大人1000円こども（３才～小学生）500円（2024.3現在）,単純温泉,大人入浴料200円引き（本人のみ1回）,JR豊後中村駅からタクシーで約30分,http://www.hosshouhotel.co.jp,https://www.88onsen.com/spot/detail/hid/162
132,壁湯天然洞窟温泉：旅館　福元屋,玖珠郡九重町大字町田62-1,0973-78-8754,10:00～16:00無休,大人400円 こども200円（2024.3現在）,単純温泉,,JR 豊後森駅からタクシーで約15分,https://www.kabeyu.jp,https://www.88onsen.com/spot/detail/hid/132
62,七里田温泉：七里田温泉館,竹田市久住町大字有氏4050-1,0974-77-2686,9：00～21：00第2火曜休,下湯：大人 800円 3才～中学生 400円※下湯のみがスタンプ押印の対象となります（2024.7現在）,炭酸水素塩泉,,JR豊後竹田駅よりタクシーで約30分ＪＲ豊後竹田駅からバスで約35分、都野バス停下車徒歩約20分,https://konoha.sichirida-onsen.com/,https://www.88onsen.com/spot/detail/hid/62
44,長湯温泉：水神之森（すいじんのもり）,竹田市直入町長湯２９０７,0974-75-3490,10:00～17:00（必ず事前に電話でご確認ください）不定休,"大人 500円こども 400円貸切湯2,000円（60分）（2024.3現在）",炭酸水素塩泉,宿泊費15％OFF（電話予約の際にお申し出ください）※正月･GWなどの繁忙期除く（1回のみ）,ＪＲ豊後竹田駅からバスで約40分道の駅ながゆから電動自転車で約10分または徒歩約20分,http://www.suijinnomori.com,https://www.88onsen.com/spot/detail/hid/44
224,南郷温泉：南郷温泉どんタロの湯,東臼杵郡美郷町南郷神門１５１－１,0982-59-0100,10：00～20：00木曜休(祝日の場合は翌日休),"大人 520円　中学生 320円こども(4才～小学生) 210円貸切湯1,000円(60分)",炭酸水素塩泉,大人入浴料半額(本人のみ1回),JR日向市駅からタクシーで約50分,http://www.nango-spa.co.jp/index.html,https://www.88onsen.com/spot/detail/hid/224
223,法華院温泉：法華院温泉山荘,竹田市久住町大字有氏1783,090-4980-2810,11：00～20：00（最終受付19：30）無休,大人･こども 500円,硫酸塩泉,大人入浴料半額(本人のみ1回),JR豊後中村駅からタクシーで約30分後くじゅう登山口バス停から徒歩約120分,http://hokkein.co.jp/,https://www.88onsen.com/spot/detail/hid/223
189,新富温泉：新冨町温泉健康センター「サン・ルピナス」,宮崎県児湯郡新富町三納代1859-1,0983-33-1000,10:00～22:00(最終受付 21:30)第3月曜休（祝日の場合は翌日休）,大人500円 小中学生300円（2024.3現在）,塩化物泉,大人入浴料半額（本人のみ1回）,JR日向新富駅から徒歩約7分,https://sun-lupinus.com/,https://www.88onsen.com/spot/detail/hid/189
100,高屋温泉：高屋温泉,西都市大字鹿野田10726,0983-42-4283　（0120-42-4283）,11:00～20:00月～木曜休（金、土、日曜・祝日のみ営業）宿泊の多い日は貸切営業を行っていることがあるためフリーダイヤルにて事前の確認がおすすめ,大人 400円子供（3才～小学生） 200円（2024.3現在）,塩化物泉,,ＪＲ佐土原駅からタクシーで約20分西都バスセンターからタクシーで約15分,https://www.takayaonsen.jp,https://www.88onsen.com/spot/detail/hid/100
143,長湯温泉：山の湯かずよ,竹田市直入町大字長湯2405,0974-75-3075,11:00～14:00※14:00以降はお電話下さい。入浴可能の場合もございます。火、金曜休※メンテナンス等による臨時休業あり,大人500円子供250円（2024.3現在）,炭酸水素塩泉,,JR豊後竹田駅からタクシーで約20分,https://yamanoyu-kazuyo.com,https://www.88onsen.com/spot/detail/hid/143
205,曽山寺温泉：ほのかの湯 加江田店,宮崎市加江田3729-1,0985-66-0591,10:00～23:00（最終受付22:00）※土日祝は9：00から無休駐車場：有,"家族風呂(各1時間)スタンダードルーム 2,200円セミプレミアムルーム 2,750円プレミアムルーム3,300円（2024.3現在）",硫黄泉,入浴料半額（本人のみ１回）,JR曽山寺駅から車で約10分,http://honokanoyu.com/,https://www.88onsen.com/spot/detail/hid/205
231,さいと温泉：さいと温泉,西都市調殿1355-1,0983-43-1000,10：00～22：00水曜休,大人600円、こども(小学生)300円貸切湯2000円(3時間),炭酸水素塩泉,,宮崎交通　山角バス停から徒歩約3分,http://www.kk-plum.co.jp/saito/index.html,https://www.88onsen.com/spot/detail/hid/231
43,長湯温泉：ラムネ温泉館,竹田市直入町大字長湯7676-2,0974-75-2620,10:00～22:00第1水曜休（1月、5月は第2水曜休）,"大人 500円こども 200円貸切湯2,000円（60分）（2024.3現在）",二酸化炭素泉,大人入浴料200円引き＋オリジナルタオルプレゼント（本人のみ1回）,JR豊後竹田駅からバスで約40分。大分駅からバスで約80分、長湯温泉バス停下車徒歩約10分。,http://www.lamune-onsen.co.jp/,https://www.88onsen.com/spot/detail/hid/43
99,湯之元温泉：湯之元温泉,西諸県郡高原町大字蒲牟田7535,0984-42-3701,10:00～22:00（最終受付21：30）水曜休,大人 600円こども（3歳～小学生）300円（2024.3現在）,二酸化炭素泉,,ＪＲ高原駅からタクシーで約10分高原ＩＣより車で約10分,http://www.yunomoto.org/,https://www.88onsen.com/spot/detail/hid/99
135,小林温泉：コスモス温泉,小林市南西方1130-79,0984-22-7085,10:00 ～ 21:00木曜休,"大人500円小・中学生300円幼児200円1日(休憩)1,000円(10:00～16:00)毎月26日は半額(26日が木曜の場合は前日)（2024.3現在）",炭酸水素塩泉,,JR小林駅からタクシーで約12分小林ＩＣから車で約5分,http://kankou-kobayashi.jp/publics/index/87/,https://www.88onsen.com/spot/detail/hid/135
200,加久藤温泉：加久藤温泉,えびの市大字西長江浦152,0984-35-1230,15：00〜21：00（最終受付20：00）※夏場の午前中入浴は電話で問合せください不定休,大人350円こども130円　幼児60円※お食事2300円(税別)以上注文で入浴無料,単純温泉,宿泊料1割引（電話予約に限る、本人のみ1回）,JRえびの駅からタクシーで約3分,https://peraichi.com/landing_pages/view/kakuto,https://www.88onsen.com/spot/detail/hid/200
96,北郷温泉：べっぴんの湯の宿　丸新荘,日南市北郷町大藤甲3619-2,0987-55-2953,11:00～19：50（最終受付19：00）不定休,大人500円こども（1才～小学生）300円（2024.3現在）,炭酸水素塩泉,大人入浴料半額（本人のみ1回）,JR北郷駅からタクシーで約5分油津駅前からバスで約25分、北郷温泉前下車徒歩約2分,http://www.mssystem1.com/marushinsou/,https://www.88onsen.com/spot/detail/hid/96
155,京町温泉：京町観光ホテル,えびの市大字向江669,0984-37-1231,7：00〜21：00※月・木曜日は8:30～15:00入浴不可無休,大人400円こども（3才～小学生）200円（2024.3現在）,炭酸水素塩泉,大人入浴料半額（本人のみ1回）,ＪＲ京町温泉駅から徒歩約5分,http://www.kyoukan.jp/,https://www.88onsen.com/spot/detail/hid/155
97,あきしげゆ温泉：あきしげゆ,えびの市大字浦146,0984-37-1171,10:00～16:00（最終受付 15:00）毎月7～9日休※訪問前にお電話でご確認ください（2024.3現在）,大人 500円こども（3才～小学生） 300円（2024.3現在）,単純温泉,,JRえびの駅からタクシーで約8分,,https://www.88onsen.com/spot/detail/hid/97
138,白鳥温泉：白鳥温泉下湯,えびの市末永1470,0984-33-3611,7:00～最終受付20:00第3火曜休,大人500円小学生250円（2024.3現在）,単純温泉,,JRえびの駅からタクシーで約15分,http://shiratori-onsen.com/wp/down/,https://www.88onsen.com/spot/detail/hid/138
137,白鳥温泉：白鳥温泉上湯,えびの市末永1470,0984-33-1104,7:00～最終受付20:00第1火曜休,大人500円小学生250円(2024.4現在),単純温泉,,JRえびの駅からタクシーで約15分,http://shiratori-onsen.com/wp/up/,https://www.88onsen.com/spot/detail/hid/137
95,青井岳温泉：青井岳温泉　7/12よりしばらく休業,都城市山之口町山之口2123,0986-57-2177,9：00～21：00（最終受付20：00）毎週木曜休※祝日を除く要電話確認※2023.5.1現在,入館料(入浴施設利用料含む)大人(中学生以上)平日500円　土日祝700円 　特別日 900円こども(1才～小学生)平日250円　土日祝350円　特別日 450円※特別日は11月の土日祝、年末年始、ゴールデンウィーク、お盆休み(8月)となります。（2023.11.3）,塩化物泉,,JR青井岳駅下車、徒歩約10分,https://aoidake.com,https://www.88onsen.com/spot/detail/hid/95
232,ひなもり温泉：こばやし温泉美人の湯,小林市堤4380番地,0984-22-3333,11：00～21：00(最終受付20：30)第4月曜休,大人500円こども(3才～小学生)300円,炭酸水素塩泉,入浴料大人200円引き、こども無料（本人のみ1回）,JR小林駅からタクシーで約25分,https://bijinnoyu.tokiwa-kai.or.jp/info/s_bijin,https://www.88onsen.com/spot/detail/hid/232
104,硫黄谷温泉：霧島ホテル,霧島市牧園町高千穂3948,0995-78-2121,11:00～17:00（利用状況により異なる）不定休,"大人 1,200円こども 600円（2024.3現在）",硫黄泉,大人入浴料200円引き（本人のみ1回）,ＪＲ霧島神宮駅からタクシーで約20分鹿児島空港からタクシーで約30分,https://www.kirishima-hotel.jp,https://www.88onsen.com/spot/detail/hid/104
106,霧島新湯温泉：霧島新燃荘,霧島市牧園町高千穂3968,0995-78-2255,8:00～18：00火曜日休、その他不定休あり※必ず事前に電話でご確認ください・駐車場：30台・受付にて貴重品預かり可,大人 600円こども（6～12歳）300円幼児 200円,硫黄泉,,ＪＲ霧島温泉駅またはＪＲ霧島神宮駅からバスで約35分霧島いわさきホテルバス停からタクシーで約7分,https://kirishimakankou.com/guide/2013/06/post-36.html,https://www.88onsen.com/spot/detail/hid/106
159,安楽温泉：安楽温泉 鶴乃湯,霧島市牧園町宿窪田4221,0995-77-2483,8:00〜20:30（最終受付 20:00）水曜休,大人300円小学生150円幼児100円3才以下無料（2024.3現在）,炭酸水素塩泉,大人入浴料半額（本人のみ1回）,JR嘉例川駅からタクシーで約10分,https://www.kagoshima-kankou.com/guide/50359/,https://www.88onsen.com/spot/detail/hid/159
111,日当山温泉：岩戸温泉,霧島市国分姫城3261,0995-45-4136,6:30～22:00（最終受付 21:30）第1火曜休,大人400円こども150円幼児80円【御湯印帳提示で】大人の方のみスタンプ押印時に１回限り半額（2024.3現在）,炭酸水素塩泉,ロゴ入りタオル1枚プレゼント,ＪＲ国分駅からタクシーで約10分。またはバスで約10分、久保田バス停下車徒歩約10分。,https://kirishimaonsen.com/archives/spa-kirishima/yutabi07,https://www.88onsen.com/spot/detail/hid/111
105,霧島温泉：霧島湯之谷山荘,霧島市牧園町高千穂4970,0995-78-2852,10:00～15:00（最終受付 14：00）水曜休（その他不定休あり、要確認）,大人 500円こども 250円大浴場のみシャンプー、ボディソープ、タオルの備え付けはありません,硫黄泉,入浴料無料（本人のみ1回）,ＪＲ霧島神宮駅からバスで約25分,https://www.mountaintrad.co.jp/~yunotani/,https://www.88onsen.com/spot/detail/hid/105
124,吉松温泉：鶴丸温泉,姶良郡湧水町鶴丸622-5,0995-75-2858,6：00～20：30無休,大人 300円こども（6～12才） 150円幼児 100円（2024.3現在）,炭酸水素塩泉,,ＪＲ鶴丸駅下車すぐえびのＩＣまたは栗野ＩＣから車で約10分,https://tsurumaru-onsen.com/,https://www.88onsen.com/spot/detail/hid/124
108,妙見温泉：妙見石原荘,霧島市隼人町嘉例川4376,0995-77-2111,11：30～15：00（最終受付13：30）混雑時にはお断りする場合があります無休,"大人 1,800円こども 900円（2024.3現在）",炭酸水素塩泉,,ＪＲ隼人駅から妙見路線バスで約20分ＪＲ嘉例川駅から妙見路線バスで約10分鹿児島空港から妙見路線バスで約20分石原荘前バス停下車徒歩約1分,https://www.m-ishiharaso.com,https://www.88onsen.com/spot/detail/hid/108
107,妙見温泉：妙見荘　田島本館,霧島市牧園町宿窪田4236,0995-77-2205,8：30～19：00※月・水・金 11:00～13:00は入浴不可12/28～1/3休,大人 300円小学生 150円幼児無料（2024.3現在）,炭酸水素塩泉,,ＪＲ隼人駅からタクシーで約20分,http://tajima-honkan.com/,https://www.88onsen.com/spot/detail/hid/107
110,日の出温泉：きのこの里,霧島市牧園町宿窪田3698,0995-77-2255,10:00～20:00火曜休,大人 300円こども 150円,炭酸水素塩泉,大人入浴料半額（本人のみ1回）,ＪＲ嘉例川駅からタクシーで約5分ＪＲ隼人駅からバスで約20分、日の出温泉バス停下車すぐ,https://bigbox2978.wixsite.com/kinokonosato,https://www.88onsen.com/spot/detail/hid/110
206,吉松温泉：前田温泉,姶良郡湧水町鶴丸1281-2,なし,8:00～20:00無休駐車場：有,大人200円 こども（6才～12才）100円6才未満50円（2024.3現在）,単純温泉,,JR吉松駅から車で約3分,,https://www.88onsen.com/spot/detail/hid/206
125,市比野温泉：割烹旅館　みどり屋,薩摩川内市樋脇町市比野2582,0996-38-0002　※旅館にお越しになる前に必ずご連絡ください。,10:00～20:00不定休,大人 300円こども 200円（2024.3現在）,単純温泉,大人入場料を200円に（本人のみ1回）。みどり屋名入りタオル、温泉水プレゼント,ＪＲ川内駅からタクシーで約15分またはバスで約40分、市比野下車徒歩約5分,https://satsumasendai.gr.jp/spotlist/2648/,https://www.88onsen.com/spot/detail/hid/125
195,阿久根温泉：きみよし温泉,鹿児島県阿久根市大丸60,0996-72-1174,14：00～19：00（最終受付18:30）不定休,中学生以上400円小学生170円未就学児100円（2024.3現在）,塩化物泉,入浴料無料（本人のみ1回）,肥薩おれんじ鉄道阿久根駅からタクシーで約5分。港入口バス停から徒歩1分。,https://www.kagoshima-kankou.com/guide/53245/,https://www.88onsen.com/spot/detail/hid/195
127,隼人温泉：浜之市ふれあいセンター富の湯,霧島市隼人町真孝390,0995-42-7072,9：00～22：00月曜休（月曜が祝日の場合は翌日）,大人380円　こども150円（2024.3現在）,塩化物泉,,ＪＲ隼人駅よりタクシーで約5分隼人東ＩＣから車で約1分,https://www.city-kirishima.jp/kirikan/shisetsu/hoken/026.html?msclkid=91d24034b19911ecb9e48109963b520d,https://www.88onsen.com/spot/detail/hid/127
233,入来温泉：百薬の名湯 諏訪温泉,薩摩川内市入来町浦之名8920,0996-44-3472,6：00～21：30不定休,大人400円　こども(小学生)140円未就学児80円,塩化物泉,,JRバス入来町バス停から徒歩約18分,https://suwanoyu.co.jp/onsen.html,https://www.88onsen.com/spot/detail/hid/233
235,十三奉行温泉：十三奉行（じゅさぶろ）温泉,出水市野田町下名4974,0996-84-2488,10:00～21:00第2･4水曜休,大人400円　こども(3才～6才)50円（2024.04現在）,塩化物泉,オリジナルタオル(平日10～16時のみ、本人のみ1回),肥薩おれんじ鉄道 野田郷駅から徒歩約20分,https://www.izumi-navi.jp/spots/post-1004/,https://www.88onsen.com/spot/detail/hid/235
142,湯之元温泉：田之湯温泉,日置市東市来町湯田3077,099-274-2219,6:00～22:00第2・4火曜休,大人200円こども（小学生以下）50円（2024.3現在）,硫黄泉,入浴料無料（本人のみ1回）,JR湯之元駅から徒歩で約7分田之湯バス停から徒歩約2分,https://www.kagoshima-kankou.com/guide/53353/,https://www.88onsen.com/spot/detail/hid/142
122,川内高城温泉：共同湯,薩摩川内市湯田町6763,0996-28-0884（湯田地区コミュニティ協議会）,11：00 ～ 19：00無休,大人 200円こども 100円（2024.3現在）,硫黄泉,,ＪＲ川内駅から車またはバスで約25分、梅屋バス停下車すぐ。肥薩おれんじ鉄道西方駅からタクシーで約10分。,https://www.sendaitakionsen.com/onsen/kyoudouyu,https://www.88onsen.com/spot/detail/hid/122
128,船津温泉：船津温泉,姶良市船津2760,0995-65-7777,9:30～22:00不定休,大人460円小学生150円幼児無料（2024.3現在）,塩化物泉,大人もこども料金150円（本人のみ1回）,ＪＲ帖佐駅からタクシーで約10分,https://www.city.aira.lg.jp/kanko/kanko/shisetsu/funatsuonsen.html,https://www.88onsen.com/spot/detail/hid/128
207,滝の湯：滝乃湯,姶良市蒲生町白男1477,090-4983-2055,24時間（無人）無休駐車場：有,大人200円 小学生以下無料（2024.3現在）,炭酸水素塩泉,,JR帖佐駅から車で約25分,,https://www.88onsen.com/spot/detail/hid/207
234,宮之城温泉：さがら温泉,薩摩郡さつま町湯田1366-39,0996-55-9528,7：00～21：301/1休,100円(4才以上),硫黄泉,,JR川内駅からタクシーで約30分,https://www.kanko-satsuma.jp/spa/sagara-onsen/,https://www.88onsen.com/spot/detail/hid/234
115,鹿児島温泉：城山長寿泉,鹿児島市城山町20-1,099-225-1812,9:30～21:30休み：木曜日,大人 460円こども 150円幼児 80円（2024.3現在）,炭酸水素塩泉,,ＪＲ鹿児島中央駅からタクシーで約10分またはバスで約15分、城山洞窟前下車徒歩すぐ,https://www.kagoshima-kankou.com/guide/53460/,https://www.88onsen.com/spot/detail/hid/115
176,尾之間温泉：屋久島 尾之間（おのあいだ）温泉,熊毛郡屋久島町尾之間1291,0997-47-2872,7:00～21:30（最終受付21：00）月曜休,大人300円 こども（小学生）150円（2024.3現在）,単純温泉,,尾之間温泉入口バス停から徒歩で約7分,http://www.town.yakushima.kagoshima.jp/cust-facility/1418/,https://www.88onsen.com/spot/detail/hid/176
126,吹上温泉：湖畔の宿　みどり荘,日置市吹上町湯之浦910,099-296-2020,10:00～15:00不定休※年末年始の立寄湯利用はお問合わせください。,大人 600円こども(0才～) 300円(2024.3現在),硫黄泉,,ＪＲ鹿児島中央駅からタクシーで約70分,http://midorisou.com,https://www.88onsen.com/spot/detail/hid/126
236,指宿温泉：砂むし会館「砂楽」,指宿市湯の浜５丁目２５−１８,0993-23-3900,8:30～20:30※平日は12:00～13:00受付休止無休(7･12月メンテナンス時･荒天時休),大人(中学生以上)1100円子供(2～12才)600円,塩化物泉,,JR指宿駅から徒歩約20分,http://ibusuki-saraku.jp/sunamushi/,https://www.88onsen.com/spot/detail/hid/236
